Number,model_a,model_b,result
1,chatglm-6b,koala-13b,l
3,koala-13b,oasst-pythia-12b,l
4,vicuna-13b,oasst-pythia-12b,l
5,vicuna-13b,koala-13b,w
6,vicuna-13b,koala-13b,w
7,vicuna-13b,koala-13b,w
8,vicuna-13b,dolly-v2-12b,w
9,stablelm-tuned-alpha-7b,oasst-pythia-12b,w
11,koala-13b,vicuna-13b,w
12,oasst-pythia-12b,koala-13b,l
13,alpaca-13b,dolly-v2-12b,w
14,oasst-pythia-12b,koala-13b,w
15,vicuna-13b,koala-13b,l
16,vicuna-13b,koala-13b,l
17,koala-13b,vicuna-13b,l
19,koala-13b,llama-13b,l
20,vicuna-13b,koala-13b,w
21,llama-13b,dolly-v2-12b,l
23,vicuna-13b,stablelm-tuned-alpha-7b,w
24,oasst-pythia-12b,koala-13b,l
26,dolly-v2-12b,koala-13b,l
28,oasst-pythia-12b,vicuna-13b,l
30,oasst-pythia-12b,llama-13b,w
32,oasst-pythia-12b,vicuna-13b,w
34,alpaca-13b,vicuna-13b,l
35,vicuna-13b,koala-13b,w
36,chatglm-6b,koala-13b,l
37,vicuna-13b,oasst-pythia-12b,l
38,koala-13b,vicuna-13b,w
39,koala-13b,alpaca-13b,l
40,oasst-pythia-12b,dolly-v2-12b,l
41,alpaca-13b,vicuna-13b,l
42,vicuna-13b,oasst-pythia-12b,l
44,stablelm-tuned-alpha-7b,vicuna-13b,l
45,koala-13b,vicuna-13b,w
46,koala-13b,oasst-pythia-12b,l
48,koala-13b,chatglm-6b,w
49,vicuna-13b,chatglm-6b,w
50,koala-13b,vicuna-13b,w
52,vicuna-13b,dolly-v2-12b,l
53,vicuna-13b,oasst-pythia-12b,w
54,koala-13b,vicuna-13b,l
55,oasst-pythia-12b,vicuna-13b,l
56,koala-13b,vicuna-13b,l
57,vicuna-13b,dolly-v2-12b,w
60,koala-13b,vicuna-13b,l
61,vicuna-13b,koala-13b,w
62,vicuna-13b,alpaca-13b,l
64,alpaca-13b,koala-13b,l
65,vicuna-13b,stablelm-tuned-alpha-7b,l
67,vicuna-13b,dolly-v2-12b,w
69,alpaca-13b,koala-13b,l
70,koala-13b,vicuna-13b,l
71,chatglm-6b,oasst-pythia-12b,w
72,oasst-pythia-12b,koala-13b,l
73,koala-13b,vicuna-13b,l
74,vicuna-13b,oasst-pythia-12b,w
75,vicuna-13b,llama-13b,w
76,koala-13b,vicuna-13b,l
77,vicuna-13b,koala-13b,l
78,vicuna-13b,alpaca-13b,l
80,vicuna-13b,koala-13b,l
81,vicuna-13b,koala-13b,w
82,vicuna-13b,dolly-v2-12b,w
83,koala-13b,chatglm-6b,w
84,oasst-pythia-12b,koala-13b,l
85,vicuna-13b,koala-13b,w
86,vicuna-13b,koala-13b,l
87,vicuna-13b,koala-13b,l
88,vicuna-13b,llama-13b,w
90,alpaca-13b,oasst-pythia-12b,l
91,koala-13b,vicuna-13b,l
93,vicuna-13b,koala-13b,w
94,vicuna-13b,koala-13b,w
95,vicuna-13b,koala-13b,w
96,koala-13b,llama-13b,w
97,vicuna-13b,alpaca-13b,w
98,vicuna-13b,koala-13b,l
99,chatglm-6b,vicuna-13b,l
101,vicuna-13b,llama-13b,w
102,koala-13b,vicuna-13b,l
103,vicuna-13b,koala-13b,l
104,koala-13b,oasst-pythia-12b,l
106,oasst-pythia-12b,vicuna-13b,l
107,vicuna-13b,alpaca-13b,w
109,vicuna-13b,koala-13b,l
110,alpaca-13b,oasst-pythia-12b,l
111,koala-13b,vicuna-13b,l
112,vicuna-13b,oasst-pythia-12b,w
113,vicuna-13b,koala-13b,w
115,vicuna-13b,dolly-v2-12b,w
116,vicuna-13b,dolly-v2-12b,w
117,vicuna-13b,oasst-pythia-12b,w
118,vicuna-13b,koala-13b,l
119,koala-13b,vicuna-13b,l
120,llama-13b,koala-13b,w
121,vicuna-13b,stablelm-tuned-alpha-7b,l
122,alpaca-13b,dolly-v2-12b,w
124,vicuna-13b,koala-13b,w
125,vicuna-13b,oasst-pythia-12b,w
126,koala-13b,dolly-v2-12b,w
129,llama-13b,koala-13b,l
130,koala-13b,alpaca-13b,l
131,oasst-pythia-12b,vicuna-13b,l
132,koala-13b,vicuna-13b,w
133,vicuna-13b,oasst-pythia-12b,l
135,stablelm-tuned-alpha-7b,llama-13b,w
136,vicuna-13b,alpaca-13b,w
138,llama-13b,dolly-v2-12b,l
140,vicuna-13b,dolly-v2-12b,w
141,koala-13b,vicuna-13b,l
