Number,model_a,model_b,result
1,chatglm-6b,koala-13b,l
2,oasst-pythia-12b,alpaca-13b,l
3,koala-13b,oasst-pythia-12b,l
4,vicuna-13b,oasst-pythia-12b,l
5,vicuna-13b,koala-13b,l
6,vicuna-13b,koala-13b,l
7,vicuna-13b,koala-13b,l
8,vicuna-13b,dolly-v2-12b,l
9,stablelm-tuned-alpha-7b,oasst-pythia-12b,l
10,koala-13b,vicuna-13b,l
11,koala-13b,vicuna-13b,l
12,oasst-pythia-12b,koala-13b,l
13,alpaca-13b,dolly-v2-12b,l
14,oasst-pythia-12b,koala-13b,l
15,vicuna-13b,koala-13b,l
16,vicuna-13b,koala-13b,l
17,koala-13b,vicuna-13b,l
18,vicuna-13b,koala-13b,l
19,koala-13b,llama-13b,l
20,vicuna-13b,koala-13b,l
21,llama-13b,dolly-v2-12b,l
22,koala-13b,vicuna-13b,l
23,vicuna-13b,stablelm-tuned-alpha-7b,l
24,oasst-pythia-12b,koala-13b,l
25,vicuna-13b,koala-13b,l
26,dolly-v2-12b,koala-13b,l
27,vicuna-13b,oasst-pythia-12b,l
28,oasst-pythia-12b,vicuna-13b,l
29,oasst-pythia-12b,chatglm-6b,l
30,oasst-pythia-12b,llama-13b,l
31,koala-13b,vicuna-13b,l
32,oasst-pythia-12b,vicuna-13b,l
33,vicuna-13b,koala-13b,l
34,alpaca-13b,vicuna-13b,l
35,vicuna-13b,koala-13b,l
36,chatglm-6b,koala-13b,l
37,vicuna-13b,oasst-pythia-12b,l
38,koala-13b,vicuna-13b,l
39,koala-13b,alpaca-13b,l
40,oasst-pythia-12b,dolly-v2-12b,l
41,alpaca-13b,vicuna-13b,l
42,vicuna-13b,oasst-pythia-12b,l
43,llama-13b,koala-13b,l
44,stablelm-tuned-alpha-7b,vicuna-13b,l
45,koala-13b,vicuna-13b,l
46,koala-13b,oasst-pythia-12b,l
47,oasst-pythia-12b,llama-13b,l
48,koala-13b,chatglm-6b,l
49,vicuna-13b,chatglm-6b,l
50,koala-13b,vicuna-13b,l
51,vicuna-13b,alpaca-13b,l
52,vicuna-13b,dolly-v2-12b,l
53,vicuna-13b,oasst-pythia-12b,l
54,koala-13b,vicuna-13b,l
55,oasst-pythia-12b,vicuna-13b,l
56,koala-13b,vicuna-13b,l
57,vicuna-13b,dolly-v2-12b,l
58,vicuna-13b,koala-13b,l
59,chatglm-6b,stablelm-tuned-alpha-7b,l
60,koala-13b,vicuna-13b,l
61,vicuna-13b,koala-13b,l
62,vicuna-13b,alpaca-13b,l
63,koala-13b,vicuna-13b,l
64,alpaca-13b,koala-13b,l
65,vicuna-13b,stablelm-tuned-alpha-7b,l
66,koala-13b,oasst-pythia-12b,l
67,vicuna-13b,dolly-v2-12b,l
68,vicuna-13b,koala-13b,l
69,alpaca-13b,koala-13b,l
